giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
ACERBI,6.5,0,0,0,0,0,0,0,0,0
BASTOS,6.5,0,0,0,0,0,0,1,0,0
LUIZ FELIPE,6,0,0,0,0,0,0,0,0,0
LUCAS LEIVA,5.5,0,0,0,0,0,0,0,0,0
LUIS ALBERTO,6,0,0,0,0,0,0,1,0,0
MILINKOVIC-SAVIC,5.5,0,0,0,0,0,0,0,0,0
PAROLO,6,0,0,0,0,0,0,1,0,0
BERISHA V,6,0,0,0,0,0,0,0,0,0
JONY,5,0,0,0,0,0,0,0,0,0
LAZZARI M,5.5,0,0,0,0,0,0,0,0,0
CAICEDO,6.5,0,0,0,0,0,0,0,0,0
CORREA,5.5,0,0,0,0,0,0,0,0,0
IMMOBILE,5.5,0,0,0,0,0,0,0,0,0
GABRIEL,7,0,1,0,0,0,0,0,0,0
RISPOLI,5.5,0,0,0,0,0,0,0,0,0
CALDERONI,7,1,0,0,0,0,0,1,0,0
LUCIONI,6.5,0,0,0,0,0,0,0,0,0
ROSSETTINI,6.5,0,0,0,0,0,0,0,0,0
TABANELLI,6.5,0,0,0,0,0,0,0,0,0
MAJER,6.5,0,0,0,0,0,0,0,0,0
IMBULA,6,0,0,0,0,0,0,0,0,0
MANCOSU,7.5,0,0,0,0,2,0,0,0,0
PETRICCIONE,6,0,0,0,0,0,0,0,0,0
SHAKHOV,6,0,0,0,0,0,0,0,0,0
FALCO,6,0,0,0,0,0,0,0,0,0
LA MANTIA,6,0,0,0,0,0,0,0,0,0
BABACAR,6.5,0,0,0,0,0,0,1,0,0
DONNARUMMA G,5,0,2,0,0,0,0,1,0,0
ROMAGNOLI A,6,0,0,0,0,0,0,1,0,0
CALABRIA,5.5,0,0,0,0,0,0,0,0,0
HERNANDEZ T,6,0,0,0,0,0,0,1,0,0
MUSACCHIO,5,0,0,0,0,0,0,1,0,0
BENNACER,6,0,0,0,0,0,0,1,0,0
BONAVENTURA,5.5,0,0,0,0,0,0,0,0,0
CALHANOGLU,6.5,0,0,0,0,0,0,0,0,0
KESSIE',5,0,0,0,0,0,0,0,0,0
SUSO,5.5,0,0,0,0,0,0,0,0,0
RAFAEL LEAO,6.5,0,0,0,0,0,0,0,0,0
PIATEK,6,0,0,0,0,1,0,0,0,0
REBIC,5.5,0,0,0,0,0,0,0,0,0
MERET,6,0,1,0,0,0,0,0,0,0
MARIO RUI,6,0,0,0,0,0,0,0,0,0
DI LORENZO,5.5,0,0,0,0,0,0,0,0,0
KOULIBALY,5,0,0,0,0,0,0,0,1,0
MAKSIMOVIC,6,0,0,0,0,0,0,0,0,0
MANOLAS,6,0,0,0,0,0,0,0,0,0
ALLAN,5.5,0,0,0,0,0,0,1,0,0
CALLEJON,5.5,0,0,0,0,0,0,0,0,0
ZIELINSKI,5.5,0,0,0,0,0,0,0,0,0
MILIK,5.5,0,0,0,0,0,0,0,0,0
LOZANO,5,0,0,0,0,0,0,0,0,0
LLORENTE,6,0,0,0,0,0,0,0,0,0
INSIGNE,5.5,0,0,0,0,0,0,0,0,0
MERTENS,6.5,0,0,0,0,0,0,0,0,0
SEPE,6,0,0,0,0,0,0,0,0,0
BRUNO ALVES,6.5,0,0,0,0,0,0,0,0,0
DARMIAN,6.5,0,0,0,0,0,0,0,0,0
GAGLIOLO,6.5,0,0,0,0,0,0,1,0,0
IACOPONI,6.5,0,0,0,0,0,0,1,0,0
BRUGMAN,6,0,0,0,0,0,0,0,0,0
KULUSEVSKI,6,0,0,0,0,0,0,0,0,0
SCOZZARELLA,6,0,0,0,0,0,0,0,0,0
BARILLA',6.5,0,0,0,0,0,0,0,0,0
HERNANI,6.5,0,0,0,0,0,0,0,0,0
CORNELIUS,5.5,0,0,0,0,0,0,0,0,0
GERVINHO,6,0,0,0,0,0,0,1,0,0
INGLESE,4.5,0,0,0,1,0,0,0,0,0
SPROCATI,6,0,0,0,0,0,0,0,0,0
PAU LOPEZ,5.5,0,2,0,0,0,0,0,0,0
SMALLING,5,0,0,0,0,0,0,0,0,0
FAZIO,5.5,0,0,0,0,0,0,0,0,0
FLORENZI,5,0,0,0,0,0,0,0,0,0
JUAN JESUS,5,0,0,0,0,0,0,1,0,0
KOLAROV,5,0,0,0,0,0,0,0,0,0
SPINAZZOLA,6,0,0,0,0,0,0,0,0,0
VERETOUT,4.5,0,0,0,0,0,0,0,0,0
ZANIOLO,5,0,0,0,0,0,0,1,0,0
CRISTANTE,5,0,0,0,0,0,0,0,0,0
PELLEGRINI LO,5.5,0,0,0,0,0,0,0,0,0
MKHITARYAN,5.5,0,0,0,0,0,0,0,0,0
KALINIC,5.5,0,0,0,0,0,0,0,0,0
DZEKO,5.5,0,0,0,0,0,0,0,0,0
AUDERO,6.5,0,2,0,0,0,0,0,0,0
COLLEY,5.5,0,0,0,0,0,0,0,0,0
DEPAOLI,5.5,0,0,0,0,0,0,1,0,0
MURILLO,5,0,0,0,0,0,0,0,1,0
MURRU,5.5,0,0,0,0,0,0,0,0,0
BERESZYNSKI,5.5,0,0,0,0,0,0,1,0,0
CHABOT,6,0,0,0,0,0,0,0,0,0
EKDAL,6,0,0,0,0,0,0,0,0,0
RAMIREZ,5,0,0,0,0,0,0,0,0,0
VIEIRA,5.5,0,0,0,0,0,0,1,0,0
BONAZZOLI,7,1,0,0,0,0,0,0,0,0
RIGONI E,6,0,0,0,0,0,0,0,0,0
CAPRARI,5.5,0,0,0,0,0,0,0,0,0
GABBIADINI,5.5,0,0,0,0,0,0,0,0,0
CONSIGLI,7.5,0,1,1,0,0,0,0,0,0
CHIRICHES,5.5,0,0,0,0,0,0,0,0,0
MULDUR,6.5,0,0,0,0,0,0,0,0,0
FERRARI G,6.5,0,0,0,0,0,0,0,0,0
TOLJAN,6.5,0,0,0,0,0,0,0,0,0
BOURABIA,5,0,0,0,0,0,1,0,0,0
LOCATELLI M,5,0,0,0,0,0,0,0,0,0
MAGNANELLI,6.5,0,0,0,0,0,0,0,0,0
OBIANG,5,0,0,0,0,0,0,1,0,0
TRAORE' HJ,6,0,0,0,0,0,0,0,0,0
CAPUTO,5,0,0,0,0,0,0,0,0,0
DEFREL,5.5,0,0,0,0,0,0,0,0,0
BERARDI,5.5,0,0,0,0,0,0,0,0,0
BOGA,5,0,0,0,0,0,0,0,0,0
BERISHA E,5.5,0,3,0,0,0,0,0,0,0
CIONEK,5,0,0,0,0,0,0,0,0,0
FELIPE,5,0,0,0,0,0,0,0,0,0
RECA,5,0,0,0,0,0,0,0,0,0
IGOR,6.5,0,0,0,0,0,0,1,0,0
VICARI,6,0,0,0,0,0,0,0,0,0
DI FRANCESCO F,7,1,0,0,0,0,0,0,0,0
KURTIC,5.5,0,0,0,0,0,0,0,0,0
MISSIROLI,5.5,0,0,0,0,0,0,0,0,0
MURGIA,6,0,0,0,0,0,0,0,0,1
STREFEZZA,5.5,0,0,0,0,0,0,0,0,0
VALOTI,5.5,0,0,0,0,0,0,0,0,0
FLOCCARI,5,0,0,0,0,0,0,0,0,0
PETAGNA,6,0,0,0,0,0,0,0,0,0
SIRIGU,7,0,1,0,0,0,0,0,0,0
DJIDJI,6,0,0,0,0,0,0,0,0,0
