giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
CUADRADO,6.5,0,0,0,0,0,0,0,0,0
KHEDIRA,5.5,0,0,0,0,0,0,0,0,0
CRISTIANO RONALDO,7,0,0,0,0,1,0,0,0,1
DYBALA,6.5,0,0,0,0,0,0,0,0,0
HIGUAIN,5.5,0,0,0,0,0,0,0,0,0
SARRI,6.5,0,0,0,0,0,0,0,0,0
STRAKOSHA,6.5,0,0,0,0,0,0,0,0,0
ACERBI,6.5,0,0,0,0,0,0,0,0,0
LUIZ FELIPE,6.5,0,0,0,0,0,0,0,0,0
RADU,6,0,0,0,0,0,0,0,0,0
MARUSIC,7,1,0,0,0,0,0,0,0,0
MILINKOVIC-SAVIC,7,0,0,0,0,0,0,0,0,1
PAROLO,6,0,0,0,0,0,0,0,0,0
JONY,6,0,0,0,0,0,0,0,0,0
LUCAS LEIVA,6.5,0,0,0,0,0,0,1,0,0
LUIS ALBERTO,6.5,0,0,0,0,0,0,0,0,1
LULIC,6,0,0,0,0,0,0,0,0,0
CAICEDO,6,0,0,0,0,0,0,0,0,0
CORREA,6.5,0,0,0,0,0,0,0,0,0
IMMOBILE,7,1,0,0,0,0,0,0,0,0
INZAGHI S,6.5,0,0,0,0,0,0,0,0,0
GABRIEL,6.5,0,4,0,0,0,0,1,0,0
BENZAR,5,0,0,0,0,0,0,0,0,0
CALDERONI,5,0,0,0,0,0,0,0,0,0
LUCIONI,5.5,0,0,0,0,0,0,0,0,0
ROSSETTINI,6,0,0,0,0,0,0,0,0,0
RISPOLI,5.5,0,0,0,0,0,0,0,0,0
TACHTSIDIS,5,0,0,0,0,0,0,1,0,0
MAJER,6,0,0,0,0,0,0,0,0,0
MANCOSU,6.5,0,0,0,0,1,0,0,0,0
PETRICCIONE,6,0,0,0,0,0,0,0,0,0
TABANELLI,6,0,0,0,0,0,0,1,0,0
FALCO,5.5,0,0,0,0,0,0,0,0,0
LAPADULA,5,0,0,0,0,0,0,0,0,0
FARIAS,6,0,0,0,0,0,0,0,0,0
LIVERANI,5.5,0,0,0,0,0,0,0,0,0
DONNARUMMA G,7,0,2,0,0,0,0,0,0,0
RODRIGUEZ R,5.5,0,0,0,0,0,0,0,0,0
ROMAGNOLI A,5,0,0,0,0,0,0,0,0,0
CONTI,5,0,0,0,0,0,0,1,0,0
HERNANDEZ T,6.5,0,0,0,0,0,0,0,0,0
MUSACCHIO,5.5,0,0,0,0,0,0,0,0,0
BIGLIA,4.5,0,0,0,0,0,0,0,0,0
CALHANOGLU,5.5,0,0,0,0,0,0,0,0,0
KESSIE',5.5,0,0,0,0,0,0,0,0,0
PAQUETA',6,0,0,0,0,0,0,0,0,0
SUSO,5.5,0,0,0,0,0,0,0,0,0
PIATEK,5,0,0,0,0,0,0,0,0,0
REBIC,6,0,0,0,0,0,0,1,0,0
RAFAEL LEAO,6,0,0,0,0,0,0,0,0,0
GIAMPAOLO,5,0,0,0,0,0,0,0,0,0
OSPINA,6,0,1,0,0,0,0,0,0,0
LUPERTO,6,0,0,0,0,0,0,0,0,0
MAKSIMOVIC,6.5,0,0,0,0,0,0,0,0,0
MALCUIT,6.5,0,0,0,0,0,0,0,0,0
GHOULAM,6.5,0,0,0,0,0,0,1,0,0
