giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
STRAKOSHA,6,0,1,0,0,0,0,0,0,0
ACERBI,6.5,0,0,0,0,0,0,1,0,0
BASTOS,6,0,0,0,0,0,0,0,0,0
LUIZ FELIPE,5,0,0,0,0,0,0,1,0,0
RADU,5.5,0,0,0,0,0,0,1,0,0
JONY,5.5,0,0,0,0,0,0,0,0,0
LAZZARI M,6.5,0,0,0,0,0,0,0,0,0
LUCAS LEIVA,6,0,0,0,0,0,0,0,0,0
LUIS ALBERTO,7,1,0,0,0,0,0,0,0,0
LULIC,5.5,0,0,0,0,0,0,0,0,0
MILINKOVIC-SAVIC,6,0,0,0,0,0,0,0,0,0
PAROLO,6.5,0,0,0,0,0,0,0,0,0
IMMOBILE,6.5,0,0,0,0,0,0,1,0,1
CORREA,6.5,0,0,0,0,0,0,0,0,0
GABRIEL,6.5,0,1,0,0,0,0,0,0,0
BENZAR,5.5,0,0,0,0,0,0,0,0,0
RISPOLI,6,0,0,0,0,0,0,0,0,0
CALDERONI,6,0,0,0,0,0,0,0,0,0
LUCIONI,6,0,0,0,0,0,0,0,0,0
ROSSETTINI,6,0,0,0,0,0,0,1,0,0
DELL'ORCO,5.5,0,0,0,0,0,0,0,0,0
MANCOSU,6,0,0,0,0,0,0,0,0,0
SHAKHOV,5.5,0,0,0,0,0,0,0,0,0
TACHTSIDIS,4.5,0,0,0,0,0,0,0,0,0
MAJER,5.5,0,0,0,0,0,0,1,0,0
FALCO,5,0,0,0,0,0,0,0,0,0
LA MANTIA,5.5,0,0,0,0,0,0,0,0,0
LAPADULA,5,0,0,0,0,0,0,0,0,0
DONNARUMMA G,6.5,0,0,0,0,0,0,0,0,0
CALABRIA,6.5,0,0,0,0,0,0,1,0,0
MUSACCHIO,6,0,0,0,0,0,0,0,0,0
RODRIGUEZ R,6,0,0,0,0,0,0,0,0,0
ROMAGNOLI A,6,0,0,0,0,0,0,0,0,0
KESSIE',5.5,0,0,0,0,0,0,0,0,0
PAQUETA',6,0,0,0,0,0,0,0,0,0
SUSO,6.5,0,0,0,0,0,0,0,0,1
BENNACER,6.5,0,0,0,0,0,0,0,0,0
BORINI,6,0,0,0,0,0,0,0,0,0
CALHANOGLU,7,1,0,0,0,0,0,1,0,0
CASTILLEJO,6.5,0,0,0,0,0,0,0,0,0
ANDRE' SILVA,5.5,0,0,0,0,0,0,1,0,0
PIATEK,5,0,0,0,0,0,0,0,0,0
MERET,6.5,0,4,0,0,0,0,0,0,0
DI LORENZO,6.5,1,0,0,0,0,0,1,0,0
GHOULAM,5.5,0,0,0,0,0,0,1,0,0
KOULIBALY,4,0,0,0,0,0,1,0,0,0
MANOLAS,5.5,1,0,0,0,0,0,0,0,0
MARIO RUI,5.5,0,0,0,0,0,0,0,0,0
ALLAN,6,0,0,0,0,0,0,0,0,0
CALLEJON,6,0,0,0,0,0,0,0,0,0
ELMAS,5.5,0,0,0,0,0,0,1,0,0
RUIZ,5,0,0,0,0,0,0,0,0,0
ZIELINSKI,5.5,0,0,0,0,0,0,0,0,1
INSIGNE,5.5,0,0,0,0,0,0,0,0,0
LOZANO,7,1,0,0,0,0,0,0,0,0
MERTENS,5,0,0,0,0,0,0,0,0,0
SEPE,6.5,0,1,0,0,0,0,0,0,0
BRUNO ALVES,6,0,0,0,0,0,0,0,0,0
GAGLIOLO,6.5,1,0,0,0,0,0,0,0,0
IACOPONI,5.5,0,0,0,0,0,0,0,0,0
LAURINI,5.5,0,0,0,0,0,0,0,0,0
PEZZELLA GIU,6,0,0,0,0,0,0,0,0,0
HERNANI,6.5,0,0,0,0,0,0,1,0,0
KUCKA,6,0,0,0,0,0,0,0,0,0
KULUSEVSKI,7.5,0,0,0,0,0,0,0,0,2
BARILLA',6,0,0,0,0,0,0,1,0,0
GRASSI,5.5,0,0,0,0,0,0,1,0,0
CORNELIUS,6,0,0,0,0,0,0,0,0,0
GERVINHO,7.5,1,0,0,0,0,0,0,0,1
INGLESE,6.5,1,0,0,0,0,0,0,0,0
PAU LOPEZ,6.5,0,1,0,0,0,0,0,0,0
FAZIO,6,0,0,0,0,0,0,0,0,0
FLORENZI,6,0,0,0,0,0,0,1,0,0
KOLAROV,6,0,0,0,0,1,0,0,0,0
MANCINI G,5.5,0,0,0,0,0,0,0,0,0
SANTON,5.5,0,0,0,0,0,0,1,0,0
KLUIVERT,5.5,0,0,0,0,0,0,0,0,0
PASTORE,5.5,0,0,0,0,0,0,0,0,0
PELLEGRINI LO,6.5,0,0,0,0,0,0,0,0,0
UNDER,5.5,0,0,0,0,0,0,0,0,0
ZANIOLO,6.5,0,0,0,0,0,0,1,0,0
CRISTANTE,5.5,0,0,0,0,0,0,0,0,0
DIAWARA,6,0,0,0,0,0,0,0,0,0
DZEKO,6.5,0,0,0,0,0,0,0,0,0
AUDERO,5.5,0,4,0,0,0,0,0,0,0
BERESZYNSKI,5,0,0,0,0,0,0,0,0,0
COLLEY,4.5,0,0,0,0,0,0,1,0,0
FERRARI A,6,0,0,0,0,0,0,0,0,0
MURILLO,4.5,0,0,0,0,0,0,0,0,0
MURRU,5,0,0,0,0,0,0,0,0,0
RAMIREZ,5,0,0,0,0,0,0,0,0,0
VIEIRA,4.5,0,0,0,0,0,0,0,1,0
LERIS,5,0,0,0,0,0,0,0,0,0
BARRETO,5.5,0,0,0,0,0,0,0,0,0
EKDAL,5.5,0,0,0,0,0,0,0,0,0
JANKTO,5.5,0,0,0,0,0,0,0,0,0
CAPRARI,5.5,0,0,0,0,0,0,1,0,0
QUAGLIARELLA,6.5,0,0,0,0,1,0,1,0,0
CONSIGLI,6.5,0,1,0,0,0,0,0,0,0
FERRARI G,6,0,0,0,0,0,0,0,0,0
MARLON,6,0,0,0,0,0,0,0,0,0
PELUSO,6,0,0,0,0,0,0,0,0,0
MULDUR,7,0,0,0,0,0,0,0,0,1
OBIANG,6.5,0,0,0,0,0,0,0,0,0
TRAORE' HJ,7,1,0,0,0,0,0,0,0,0
DJURICIC,6,0,0,0,0,0,0,0,0,0
DUNCAN,7,0,0,0,0,0,0,1,0,2
LOCATELLI M,6,0,0,0,0,0,0,0,0,0
MAZZITELLI,6,0,0,0,0,0,0,0,0,0
BERARDI,8,3,0,0,0,0,0,0,0,0
BOGA,6,0,0,0,0,0,0,0,0,0
CAPUTO,7,0,0,0,0,0,0,0,0,1
BERISHA E,7.5,0,1,0,0,0,0,0,0,0
TOMOVIC,6,0,0,0,0,0,0,0,0,0
CIONEK,5,0,0,0,0,0,0,0,0,0
FELIPE,5.5,0,0,0,0,0,0,0,0,0
IGOR,5,0,0,0,0,0,0,1,0,0
VICARI,6.5,0,0,0,0,0,0,0,0,0
DI FRANCESCO F,6,0,0,0,0,0,0,0,0,0
KURTIC,6,0,0,0,0,0,0,0,0,0
MISSIROLI,5.5,0,0,0,0,0,0,1,0,0
VALDIFIORI,6,0,0,0,0,0,0,0,0,0
VALOTI,5.5,0,0,0,0,0,0,0,0,0
D'ALESSANDRO,6,0,0,0,0,0,0,0,0,0
FLOCCARI,6,0,0,0,0,0,0,0,0,0
PETAGNA,5.5,0,0,0,0,0,0,0,0,0
SIRIGU,6.5,0,2,0,0,0,0,0,0,0
AINA,6,0,0,0,0,0,0,0,0,0
BONIFAZI,7,1,0,0,0,0,0,0,0,0
DE SILVESTRI,6,0,0,0,0,0,0,0,0,0
DJIDJI,5.5,0,0,0,0,0,0,0,0,0
IZZO,7,1,0,0,0,0,0,0,0,0
LUKIC,6,0,0,0,0,0,0,0,0,0
LAXALT,6,0,0,0,0,0,0,1,0,0
MEITE',6.5,0,0,0,0,0,0,0,0,1
RINCON,6.5,0,0,0,0,0,0,0,0,0
BASELLI,7,0,0,0,0,0,0,0,0,1
BERENGUER,7,1,0,0,0,0,0,1,0,0
BELOTTI,6.5,0,0,0,0,0,0,0,0,0
MUSSO,5,0,3,0,0,0,0,0,0,0
SAMIR,5.5,0,0,0,0,0,0,0,0,0
STRYGER LARSEN,5.5,0,0,0,0,0,0,0,0,0
TROOST-EKONG,5,0,0,0,0,0,0,0,0,0
RODRIGO BECAO,5,0,0,0,0,0,0,0,0,0
SEMA,5.5,0,0,0,0,0,0,0,0,0
DE PAUL,5.5,0,0,0,0,0,0,0,0,0
FOFANA,6,0,0,0,0,0,0,0,0,0
JAJALO,6,0,0,0,0,0,0,0,0,0
MANDRAGORA,6,0,0,0,0,0,0,0,0,0
NESTOROVSKI,6,0,0,0,0,0,0,0,0,0
PUSSETTO,6,0,0,0,0,0,0,0,0,0
TEODORCZYK,6,0,0,0,0,0,0,1,0,0
LASAGNA,6.5,1,0,0,0,0,0,0,0,0
SILVESTRI,6.5,0,0,0,0,0,0,0,0,0
KUMBULLA,6.5,0,0,0,0,0,0,1,0,0
RRAHMANI,6.5,0,0,0,0,0,0,0,0,0
BOCCHETTI,6,0,0,0,0,0,0,0,0,0
FARAONI,6.5,0,0,0,0,0,0,0,0,0
GUNTER,6.5,0,0,0,0,0,0,1,0,0
LAZOVIC,6.5,0,0,0,0,0,0,0,0,0
VERRE,5.5,0,0,0,0,0,0,1,0,0
HENDERSON L,6.5,0,0,0,0,0,0,0,0,0
MIGUEL VELOSO,6,0,0,0,0,0,0,0,0,0
PESSINA,7,1,0,0,0,0,0,0,0,0
ZACCAGNI,7,0,0,0,0,0,0,0,0,1
AMRABAT,6,0,0,0,0,0,0,0,0,0
TUTINO,5,0,0,0,0,0,0,0,0,0
