giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
ACERBI,6,0,0,0,0,0,0,1,0,0
PATRIC,5.5,0,0,0,0,0,0,1,0,0
RADU,5,0,0,0,0,0,0,1,0,0
VAVRO,5.5,0,0,0,0,0,0,0,0,0
LULIC,5.5,0,0,0,0,0,0,0,0,0
MILINKOVIC-SAVIC,5.5,0,0,0,0,0,0,0,0,0
PAROLO,6,0,0,0,0,0,0,0,0,0
LAZZARI M,6,0,0,0,0,0,0,0,0,0
LUCAS LEIVA,6,0,0,0,0,0,0,0,0,0
LUIS ALBERTO,6,0,0,0,0,0,0,0,0,0
CAICEDO,6,0,0,0,0,0,0,0,0,0
CORREA,5.5,0,0,0,0,0,0,0,0,0
IMMOBILE,6,0,0,0,0,1,0,0,0,0
GABRIEL,6.5,0,1,0,0,0,0,0,0,0
CALDERONI,7,0,0,0,0,0,0,0,0,0
RISPOLI,6,0,0,0,0,0,0,1,0,0
LUCIONI,6.5,0,0,0,0,0,0,1,0,0
ROSSETTINI,5.5,0,0,0,0,0,0,1,0,0
MAJER,7,0,0,0,0,0,0,0,0,0
MANCOSU,7,1,0,0,0,0,0,0,0,0
SHAKHOV,6,0,0,0,0,0,0,0,0,0
TABANELLI,5.5,0,0,0,0,0,0,1,0,0
TACHTSIDIS,6,0,0,0,0,0,0,0,0,0
BABACAR,6.5,0,0,0,0,0,0,0,0,0
FALCO,7.5,0,0,0,0,0,0,0,0,0
LAPADULA,5.5,0,0,0,0,0,0,1,0,0
FARIAS,6.5,1,0,0,0,0,0,0,0,0
DONNARUMMA G,6,0,0,0,0,0,0,0,0,0
CALABRIA,5.5,0,0,0,0,0,0,0,1,0
MUSACCHIO,6,0,0,0,0,0,0,0,0,0
RODRIGUEZ R,6,0,0,0,0,0,0,0,0,0
ROMAGNOLI A,6.5,0,0,0,0,0,0,0,0,0
BIGLIA,5.5,0,0,0,0,0,0,0,0,0
CALHANOGLU,6,0,0,0,0,0,0,0,0,0
KESSIE',5,0,0,0,0,0,0,0,0,0
PAQUETA',5,0,0,0,0,0,0,1,0,0
