giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
STRAKOSHA,7,0,0,0,0,0,0,0,0,0
VAVRO,6,0,0,0,0,0,0,0,0,0
ACERBI,7,0,0,0,0,0,0,1,0,0
LUIZ FELIPE,6.5,0,0,0,0,0,0,0,0,0
RADU,6.5,0,0,0,0,0,0,0,0,0
PAROLO,6.5,0,0,0,0,0,0,0,0,0
CATALDI,6,0,0,0,0,0,0,0,0,0
LAZZARI M,7,0,0,0,0,0,0,1,0,0
LUIS ALBERTO,7.5,0,0,0,0,0,0,0,0,1
LULIC,6.5,0,0,0,0,0,0,0,0,0
MARUSIC,6,0,0,0,0,0,0,0,0,0
MILINKOVIC-SAVIC,7.5,0,0,0,0,0,0,0,0,0
CORREA,7,1,0,0,0,0,0,0,0,0
IMMOBILE,8,2,0,0,0,0,0,0,0,0
GABRIEL,5.5,0,4,0,0,0,0,0,0,0
ROSSETTINI,5.5,0,0,0,0,0,0,0,0,0
BENZAR,6,0,0,0,0,0,0,0,0,0
RISPOLI,5,0,0,0,0,0,0,0,0,0
CALDERONI,6,0,0,0,0,0,0,0,0,0
LUCIONI,5,0,0,0,0,0,0,0,0,0
MAJER,6,0,0,0,0,0,0,0,0,0
MANCOSU,6,0,0,0,0,0,0,0,0,0
PETRICCIONE,5.5,0,0,0,0,0,0,1,0,0
TACHTSIDIS,5,0,0,0,0,0,0,0,0,0
FALCO,6.5,0,0,0,0,0,0,0,0,0
FARIAS,4.5,0,0,0,0,0,0,0,1,0
LA MANTIA,5.5,0,0,0,0,0,0,0,0,0
LAPADULA,5.5,0,0,0,0,0,0,1,0,0
DONNARUMMA G,6,0,1,0,0,0,0,0,0,0
CALABRIA,5.5,0,0,0,0,0,0,0,0,0
MUSACCHIO,5.5,0,0,0,0,0,0,0,0,0
RODRIGUEZ R,5.5,0,0,0,0,0,0,0,0,0
ROMAGNOLI A,6,0,0,0,0,0,0,0,0,0
CALHANOGLU,5.5,0,0,0,0,0,0,1,0,0
CASTILLEJO,5.5,0,0,0,0,0,0,0,0,0
KESSIE',5,0,0,0,0,0,0,0,0,0
PAQUETA',5.5,0,0,0,0,0,0,1,0,0
SUSO,6,0,0,0,0,0,0,0,0,0
BENNACER,6,0,0,0,0,0,0,0,0,0
BORINI,5.5,0,0,0,0,0,0,1,0,0
PIATEK,5,0,0,0,0,0,0,0,0,0
RAFAEL LEAO,5.5,0,0,0,0,0,0,0,0,0
MERET,5.5,0,3,0,0,0,0,0,0,0
MARIO RUI,5.5,0,0,0,0,0,0,1,0,0
DI LORENZO,5.5,0,0,0,0,0,0,0,0,0
GHOULAM,6,0,0,0,0,0,0,0,0,0
HYSAJ,6,0,0,0,0,0,0,0,0,0
KOULIBALY,5,0,0,0,0,0,0,0,0,0
MANOLAS,6,0,0,0,0,0,0,0,0,0
ALLAN,5.5,0,0,0,0,0,0,1,0,0
CALLEJON,7.5,1,0,0,0,0,0,1,0,1
ELMAS,6,0,0,0,0,0,0,0,0,0
RUIZ,6.5,0,0,0,0,0,0,0,0,0
ZIELINSKI,5.5,0,0,0,0,0,0,1,0,0
INSIGNE,8,1,0,0,0,1,0,0,0,1
MERTENS,7.5,1,0,0,0,0,0,0,0,0
SEPE,6,0,1,0,0,0,0,0,0,0
BRUNO ALVES,5.5,0,0,0,0,0,0,0,0,0
GAGLIOLO,5,0,0,0,0,0,0,0,0,0
IACOPONI,6,0,0,0,0,0,0,0,0,0
LAURINI,5.5,0,0,0,0,0,0,0,0,0
GRASSI,6,0,0,0,0,0,0,0,0,0
HERNANI,6,0,0,0,0,0,0,1,0,0
KULUSEVSKI,5.5,0,0,0,0,0,0,1,0,0
BRUGMAN,6,0,0,0,0,0,0,0,0,0
BARILLA',5.5,0,0,0,0,0,0,0,0,0
GERVINHO,5.5,0,0,0,0,0,0,0,0,0
INGLESE,5.5,0,0,0,0,0,0,0,0,0
KARAMOH,6,0,0,0,0,0,0,0,0,0
SILIGARDI,5.5,0,0,0,0,0,0,0,0,0
PAU LOPEZ,5.5,0,3,0,0,0,0,0,0,0
FAZIO,4.5,0,0,0,0,0,0,0,0,0
ZAPPACOSTA,5.5,0,0,0,0,0,0,0,0,0
FLORENZI,6,0,0,0,0,0,0,1,0,0
JUAN JESUS,4,0,0,0,0,0,0,1,0,0
KOLAROV,7,1,0,0,0,0,0,0,0,0
MANCINI G,5.5,0,0,0,0,0,0,0,0,0
PASTORE,6,0,0,0,0,0,0,0,0,0
PELLEGRINI LO,6,0,0,0,0,0,0,1,0,0
UNDER,7,1,0,0,0,0,0,0,0,0
ZANIOLO,5.5,0,0,0,0,0,0,0,0,0
CRISTANTE,5.5,0,0,0,0,0,0,0,0,0
KLUIVERT,5.5,0,0,0,0,0,0,0,0,0
DZEKO,7.5,1,0,0,0,0,0,0,0,0
AUDERO,7,0,3,0,0,0,0,0,0,0
COLLEY,4.5,0,0,0,0,0,0,0,0,0
MURILLO,4.5,0,0,0,0,0,0,0,0,0
MURRU,5,0,0,0,0,0,0,1,0,0
BERESZYNSKI,4.5,0,0,0,0,0,0,0,0,0
EKDAL,5.5,0,0,0,0,0,0,1,0,0
JANKTO,5.5,0,0,0,0,0,0,0,0,0
LINETTY,5.5,0,0,0,0,0,0,0,0,0
LERIS,6,0,0,0,0,0,0,0,0,0
VIEIRA,5.5,0,0,0,0,0,0,0,0,0
BONAZZOLI,6,0,0,0,0,0,0,0,0,0
CAPRARI,5,0,0,0,0,0,0,0,0,0
GABBIADINI,6,0,0,0,0,0,0,0,0,0
QUAGLIARELLA,5,0,0,0,0,0,0,0,0,0
CONSIGLI,6.5,0,2,0,0,0,0,0,0,0
MARLON,5,0,0,0,0,0,0,1,0,0
PELUSO,5.5,0,0,0,0,0,0,0,0,0
ROGERIO,5,0,0,0,0,0,0,0,0,0
TOLJAN,5,0,0,0,0,0,0,0,0,0
FERRARI G,5,0,0,0,0,0,0,0,0,0
MULDUR,6,0,0,0,0,0,0,0,0,0
BOURABIA,5.5,0,0,0,0,0,0,1,0,0
LOCATELLI M,5.5,0,0,0,0,0,0,0,0,0
OBIANG,6,0,0,0,0,0,0,1,0,0
TRAORE' HJ,6,0,0,0,0,0,0,0,0,0
BOGA,6,0,0,0,0,0,0,0,0,0
CAPUTO,6.5,1,0,0,0,0,0,0,0,0
RASPADORI,6,0,0,0,0,0,0,0,0,0
BERISHA E,6.5,0,3,0,0,0,0,0,0,0
CIONEK,5.5,0,0,0,0,0,0,1,0,0
FELIPE,5.5,0,0,0,0,0,0,0,0,0
IGOR,7,0,0,0,0,0,0,0,0,1
VICARI,5.5,0,0,0,0,0,0,0,0,0
TOMOVIC,5.5,0,0,0,0,0,0,0,0,0
MISSIROLI,5.5,0,0,0,0,0,0,0,0,0
MURGIA,5.5,0,0,0,0,0,0,0,0,0
VALOTI,6.5,0,0,0,0,0,0,1,0,0
D'ALESSANDRO,5,0,0,0,0,0,0,0,0,0
DI FRANCESCO F,7,1,0,0,0,0,0,0,0,0
KURTIC,6,0,0,0,0,0,0,0,0,0
FLOCCARI,6,0,0,0,0,0,0,0,0,0
PETAGNA,7.5,1,0,0,0,0,0,0,0,1
SIRIGU,7,0,1,0,0,0,0,1,0,0
BONIFAZI,6.5,0,0,0,0,0,0,0,0,0
BREMER,6,0,0,0,0,0,0,1,0,0
DE SILVESTRI,6.5,0,0,0,0,0,0,0,0,0
DJIDJI,5.5,0,0,0,0,0,0,0,0,0
IZZO,6.5,0,0,0,0,0,0,0,0,0
AINA,6,0,0,0,0,0,0,0,0,0
MEITE',6,0,0,0,0,0,0,0,0,0
RINCON,6,0,0,0,0,0,0,0,0,0
ANSALDI,6.5,0,0,0,0,0,0,1,0,1
BASELLI,6,0,0,0,0,0,0,0,0,0
LUKIC,6,0,0,0,0,0,0,0,0,1
BELOTTI,7,1,0,0,0,0,0,0,0,0
ZAZA,7,1,0,0,0,0,0,1,0,0
MUSSO,6,0,0,0,0,0,0,0,0,0
SAMIR,7,0,0,0,0,0,0,0,0,0
STRYGER LARSEN,6,0,0,0,0,0,0,0,0,0
TROOST-EKONG,6.5,0,0,0,0,0,0,0,0,0
PEZZELLA GIU,5.5,0,0,0,0,0,0,0,0,0
RODRIGO BECAO,7.5,1,0,0,0,0,0,0,0,0
DE PAUL,6,0,0,0,0,0,0,0,0,0
SEMA,6,0,0,0,0,0,0,0,0,0
FOFANA,6.5,0,0,0,0,0,0,0,0,0
JAJALO,6,0,0,0,0,0,0,1,0,0
MANDRAGORA,6,0,0,0,0,0,0,0,0,0
NESTOROVSKI,6,0,0,0,0,0,0,0,0,0
PUSSETTO,6,0,0,0,0,0,0,0,0,0
LASAGNA,5.5,0,0,0,0,0,0,0,0,0
SILVESTRI,6.5,0,1,0,0,0,0,0,0,0
KUMBULLA,6.5,0,0,0,0,0,0,0,0,0
RRAHMANI,6.5,0,0,0,0,0,0,0,0,0
BOCCHETTI,6,0,0,0,0,0,0,0,0,0
DAWIDOWICZ,4.5,0,0,0,0,0,0,0,1,0
FARAONI,5.5,0,0,0,0,0,0,0,0,0
GUNTER,6,0,0,0,0,0,0,0,0,0
AMRABAT,6.5,0,0,0,0,0,0,0,0,0
HENDERSON L,6,0,0,0,0,0,0,1,0,0
LAZOVIC,5.5,0,0,0,0,0,0,0,0,0
MIGUEL VELOSO,7,1,0,0,0,0,0,0,0,0
ZACCAGNI,6,0,0,0,0,0,0,0,0,0
VERRE,6,0,0,0,0,0,0,0,0,0
TUTINO,6,0,0,0,0,0,0,0,0,0
